SAMPLE_ID	RUN	WORKFLOW_TYPE	WORKFLOW_VERSION	RECORD_TYPE	COMPLETED_ALL_STEPS	FAILED_STEPS	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	STEPS_NOT_EXECUTED	DNA_ALLELE_DOSAGE_RATIO	DNA_CONTAMINATION_P_VALUE	DNA_CONTAMINATION_SCORE	DNA_COVERAGE_MAD	DNA_EXCESSIVE_TF	DNA_GENE_SCALED_MAD	DNA_MEAN_FAMILY_SIZE	DNA_MEAN_TARGET_COVERAGE	DNA_MEDIAN_BIN_COUNT_CNV_TARGET	DNA_MEDIAN_EXON_COVERAGE	DNA_MEDIAN_INSERT_SIZE	DNA_MEDIAN_TARGET_COVERAGE	DNA_MEDIAN_TARGET_HRD_COVERAGE	DNA_PCT_ALIGNED_READS	DNA_PCT_CHIMERIC_READS	DNA_PCT_CONTAMINATION_EST	DNA_PCT_EXON_100X	DNA_PCT_EXON_50X	DNA_PCT_PF_UQ_READS	DNA_PCT_Q30_BASES	DNA_PCT_READ_ENRICHMENT	DNA_PCT_SOFT_CLIPPED_BASES	DNA_PCT_TARGET_0_4X_MEAN	DNA_PCT_TARGET_100X	DNA_PCT_TARGET_250X	DNA_PCT_TARGET_50X	DNA_PCT_TARGET_HRD_50X	DNA_PCT_USABLE_UMI_READS	DNA_TOTAL_PF_READS	DNA_USABLE_MSI_SITES	RNA_GENE_ABOVE_MEDIAN_CUTOFF	RNA_GENE_MEDIAN_COVERAGE	RNA_MEDIAN_CV_GENE_500X	RNA_MEDIAN_INSERT_SIZE	RNA_PCT_CHIMERIC_READS	RNA_PCT_ON_TARGET_READS	RNA_PCT_Q30_BASES	RNA_PCT_SOFT_CLIPPED_BASES	RNA_SCALED_MEDIAN_GENE_COVERAGE	RNA_TOTAL_ON_TARGET_READS	RNA_TOTAL_PF_READS
LSL_Guideline	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	LOWER_THRESHOLD	NA	NA	55.0	80.0	80.0	NA	NA	0.000	0	0.000	NA	NA	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	9000000	NA
USL_Guideline	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.049	3106	0.210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.00	NA	NA	NA	NA	NA	NA	NA	NA
Horizon_HD753_1_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	0.283	30713	0.120	NA	NA	3.8	557.7	6.6	565	146	536.0	NA	95.5	0.10	21.2	98.5	99.1	100.0	NA	69.2	NA	95.5	98.2	94.3	NA	NA	99.9	125802762	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Horizon_HD753_2_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	0.422	30482	0.120	NA	NA	3.5	606.7	7.2	612	146	583.0	NA	96.4	0.09	20.8	98.6	99.1	100.0	NA	68.4	NA	95.8	98.4	95.5	NA	NA	99.9	126177978	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Horizon_HD799_1_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	0.241	18510	0.090	NA	NA	7.3	309.1	4.4	325	111	315.0	NA	97.4	0.22	17.7	98.3	99.1	100.0	NA	76.0	NA	97.1	97.8	77.8	NA	NA	99.9	145469172	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Horizon_HD799_2_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	0.277	18396	0.087	NA	NA	5.8	431.9	5.9	452	118	435.0	NA	98.8	0.24	14.3	99.2	99.6	100.0	NA	72.6	NA	97.7	98.9	93.1	NA	NA	99.9	159970750	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1376-D01-P02-A08_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	1.000	23	0.110	NA	NA	4.1	581.6	7.7	596	125	585.0	NA	98.7	0.25	0.4	98.4	99.0	100.0	NA	75.4	NA	95.6	98.3	95.1	NA	NA	99.9	138044198	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1376-R03-P02-A08_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.22	130	0.15	95.3	NA	NA	6017.8	28598569	29998706
IPD1435-D01-r01-AXX_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	0.000	3766	0.137	NA	NA	4.1	500.1	5.7	426	109	411.0	NA	97.5	1.16	4.1	98.9	99.4	100.0	NA	73.6	NA	91.6	98.5	84.3	NA	NA	99.9	130713166	119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1435-R03-r01-AXX_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.73	113	0.21	92.5	NA	NA	5859.6	27747002	30001956
IPD1436-D01-P01-A12_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	1.000	463	0.138	NA	NA	6.4	266.0	3.6	233	93	221.0	NA	98.0	2.49	1.0	96.7	99.0	100.0	NA	72.7	NA	95.3	96.1	40.3	NA	NA	100.0	124026708	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1436-R03-P01-A12_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.97	98	0.19	90.4	NA	NA	3989.3	19760206	21856112
IPD1437-D01-r01-A18_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	1.000	861	0.130	NA	NA	2.7	768.6	10.1	777	119	772.0	NA	98.4	0.31	1.8	99.1	99.5	100.0	NA	72.8	NA	95.5	98.8	96.7	NA	NA	99.9	126132164	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1437-R03-r01-A18_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.86	106	0.16	93.3	NA	NA	4762.5	22354837	23970102
IPD1441-D01-A01-M16_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	0.931	8754	0.095	NA	NA	2.6	845.9	10.1	885	134	854.0	NA	93.8	0.07	20.6	98.5	99.0	100.0	NA	75.5	NA	93.5	98.2	95.7	NA	NA	99.9	124829802	115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1441-R03-A01-M16_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.55	125	0.18	90.3	NA	NA	5921.3	26096077	28890790
IPD1442-D01-e01-M16_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	1.000	100	0.087	NA	NA	2.9	1007.4	12.0	1057	150	1017.0	NA	98.5	0.08	0.3	98.9	99.3	100.0	NA	74.9	NA	94.9	98.8	97.3	NA	NA	99.9	149942778	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1442-R03-e01-M16_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.87	122	0.34	89.0	NA	NA	5973.7	26690279	30001726
IPD1457-D01-E01-MXX_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	1.000	7	0.085	NA	NA	2.3	1005.5	11.7	1058	146	1011.0	NA	96.7	0.09	0.2	98.9	99.2	100.0	NA	68.2	NA	95.0	98.5	97.0	NA	NA	99.9	132461592	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1457-R03-E01-MXX_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.47	129	0.32	90.5	NA	NA	5611.0	24828592	27429922
Sera_Care03710-0496_1_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.87	137	0.36	91.5	NA	NA	5611.2	27463741	30002494
Sera_Care03710-0496_2_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.83	146	0.35	89.3	NA	NA	5604.9	26782158	30001890
Sera_Care03710-0497_1_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.69	125	0.19	92.0	NA	NA	5216.8	24790321	26952168
Sera_Care03710-0497_2_P	240809_A02134_0013_BHCGJYDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	75.4	93.2	92.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.34	119	0.21	92.0	NA	NA	4687.8	23377978	25413174
LSL_Guideline	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.000	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	50.0	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	2500000	NA
USL_Guideline	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	1457	NA	0	0.134	NA	NA	NA	NA	NA	NA	NA	NA	8.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA
TVD0016	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
